parent,id,"Performance Title",composer_text,"Concert Title",original_date,date_start,orchestra,"Venue Name","Venue Town",seonametown
1046,10860,"Hebrides Overture",Mendelssohn,NULL,"2 Dec 1908",1908-12-02,"Hallé Orchestra; 1857-","Town Hall",Leeds,leeds-town-hall
1046,10861,"Invitation to the Dance, arr. for full Orchestra by Berlioz",Weber,NULL,"2 Dec 1908",1908-12-02,"Hallé Orchestra; 1857-","Town Hall",Leeds,leeds-town-hall
1046,10862,"Symphony No5 in E minor",Tchaikovsky,NULL,"2 Dec 1908",1908-12-02,"Hallé Orchestra; 1857-","Town Hall",Leeds,leeds-town-hall
1046,10863,"Schiller's Noenia",Brahms,NULL,"2 Dec 1908",1908-12-02,"Hallé Orchestra; 1857-","Town Hall",Leeds,leeds-town-hall
1046,10864,"Motet for Double Chorus 'Be not afraid'",Bach,NULL,"2 Dec 1908",1908-12-02,"Hallé Orchestra; 1857-","Town Hall",Leeds,leeds-town-hall
1046,10865,"Variations on an Original Theme",Elgar,NULL,"2 Dec 1908",1908-12-02,"Hallé Orchestra; 1857-","Town Hall",Leeds,leeds-town-hall
1047,10866,"Symphony No41 in C (Jupiter)",Mozart,NULL,"28 Nov 1908",1908-11-28,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
1047,10867,"Overture, The Flying Dutchman",Wagner,NULL,"28 Nov 1908",1908-11-28,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
1047,10868,"Introduction & Allegro for Strings",Elgar,NULL,"28 Nov 1908",1908-11-28,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
1047,10869,"In der Natur Overture",Dvorak,NULL,"28 Nov 1908",1908-11-28,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
1047,10870,"Prelude & Liebestod, Tristan und Isolde",Wagner,NULL,"28 Nov 1908",1908-11-28,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
1047,10871,"Hungarian Rhapsody No2 in D",Liszt,NULL,"28 Nov 1908",1908-11-28,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
1175,8433,"Song 'Onaway, Awake beloved' [Hiawatha]","Coleridge Taylor",NULL,"9 Oct 1914",1914-10-09,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1175,8434,"Overture, The Magic Flute",Mozart,NULL,"9 Oct 1914",1914-10-09,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1175,8435,"Concerto in E minor",Handel,NULL,"9 Oct 1914",1914-10-09,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1175,11377,"Symphonic poem 'Thamar'",Balakirev,NULL,"9 Oct 1914",1914-10-09,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1175,11378,"Symphony in D minor",Franck,NULL,"9 Oct 1914",1914-10-09,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1175,11379,"Song: Blow, blow, thou winter wind",Quilter,NULL,"9 Oct 1914",1914-10-09,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1175,11380,"Song: 'Heigh ho, the wind and the rain'",Walthew,NULL,"9 Oct 1914",1914-10-09,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1175,11381,"Carnaval Romain",Berlioz,NULL,"9 Oct 1914",1914-10-09,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1175,26273,"Two Pieces for Small Orchestra",Delius,NULL,"9 Oct 1914",1914-10-09,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1176,11386,"Leonora Overture No3",Beethoven,NULL,"20 Nov 1914",1914-11-20,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1176,11388,"Serenade for Strings",Mozart,NULL,"20 Nov 1914",1914-11-20,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1176,11389,"Cavatina from Lucia di Lammermoor",Donizetti,NULL,"20 Nov 1914",1914-11-20,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1176,11390,"Prelude Act III [Die Meistersinger]",Wagner,NULL,"20 Nov 1914",1914-11-20,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1176,11391,"Good Friday Music [Parsifal]",Wagner,NULL,"20 Nov 1914",1914-11-20,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1176,26599,"Idomeneo; Act 3 aria, Zeffiretti Lusinghieri",Mozart,NULL,"20 Nov 1914",1914-11-20,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1177,11395,"Overture, Euryanthe",Weber,NULL,"19 Feb 1915",1915-02-19,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1177,11402,"Part-song: Love's Tempest",Elgar,NULL,"19 Feb 1915",1915-02-19,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1177,11403,"Andante from Violin Concerto",Elgar,NULL,"19 Feb 1915",1915-02-19,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1177,11404,"Vladimir's cavatina [Prince Igor]",Borodin,NULL,"19 Feb 1915",1915-02-19,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1177,11405,"Final chorus, Caractacus",Elgar,NULL,"19 Feb 1915",1915-02-19,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1177,15726,"Pomp and Circumstance; military march, No.1 in D major, Op.39, No.1",Elgar,NULL,"19 Feb 1915",1915-02-19,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1177,33145,"Te Deum, for tenor, three choruses, orchestra and organ, Op.22",Berlioz,NULL,"19 Feb 1915",1915-02-19,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1178,8399,"Symphony No.3 in C minor (Organ Symphony), Op.78",Saint-Saens,NULL,"24 Oct 1914",1914-10-24,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
1178,11382,"Symphonic Suite: Printemps",Debussy,NULL,"24 Oct 1914",1914-10-24,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
1178,11383,"Symphonic poem 'Thamar'",Balakirev,NULL,"24 Oct 1914",1914-10-24,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
1178,11384,"Fifine at the Fair",Bantock,NULL,"24 Oct 1914",1914-10-24,"Hallé Orchestra; 1857-","Philharmonic Hall",Liverpool,liverpool-philharmonic-hall
1179,11396,"Overture, Die Meistersinger",Wagner,NULL,"9 Dec 1914",1914-12-09,"Hallé Orchestra; 1857-",unlisted,Sheffield,sheffield-unlisted
1179,11397,"Mock Morris",Grainger,NULL,"9 Dec 1914",1914-12-09,"Hallé Orchestra; 1857-",unlisted,Sheffield,sheffield-unlisted
1179,11398,"Tone poem: Paris",Delius,NULL,"9 Dec 1914",1914-12-09,"Hallé Orchestra; 1857-",unlisted,Sheffield,sheffield-unlisted
1179,11399,"Fifine at the Fair",Bantock,NULL,"9 Dec 1914",1914-12-09,"Hallé Orchestra; 1857-",unlisted,Sheffield,sheffield-unlisted
1201,15956,"Symphony No.1 in A flat major, Op.55",Elgar,NULL,"15th Nov 1915",1915-11-15,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1223,11392,"Overture, The Magic Flute",Mozart,NULL,"18 Oct 1916",1916-10-18,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1223,11394,"Symphony in D minor",Franck,NULL,"18 Oct 1916",1916-10-18,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1223,11407,"Minuet from L'Arlesienne Suite",Bizet,NULL,"18 Oct 1916",1916-10-18,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1223,11408,"Symphonic Suite 'Scheherazade'",Rimsky-Korsakov,NULL,"18 Oct 1916",1916-10-18,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1223,16026,"Petrushka; final scene",Stravinsky,NULL,"18 Oct 1916",1916-10-18,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1224,11393,"Siegfried Idyll",Wagner,NULL,"15 Nov 1916",1916-11-15,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1224,11409,"Sorcerer's Apprentice",Dukas,NULL,"15 Nov 1916",1916-11-15,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1224,11410,"To Women; For the Fallen [Spirit of England]",Elgar,NULL,"15 Nov 1916",1916-11-15,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1224,11411,"Aria: Salce [Otello]",Verdi,NULL,"15 Nov 1916",1916-11-15,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1224,11412,Gopak,Moussorgsky,NULL,"15 Nov 1916",1916-11-15,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1225,11415,"Dream of Gerontius",Elgar,NULL,"22 Nov 1916",1916-11-22,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1226,11414,"Overture, The Bartered Bride",Smetana,NULL,"6 Dec 1916",1916-12-06,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1226,11416,"Symphony No5 in E minor",Tchaikovsky,NULL,"6 Dec 1916",1916-12-06,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1226,11417,"Comedy-Overture: The Pierrot of the Minute",Bantock,NULL,"6 Dec 1916",1916-12-06,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1226,11418,"Mephisto's Waltz [Faust]",Liszt,NULL,"6 Dec 1916",1916-12-06,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1226,11419,"1st movement, Norwegian Rhapsody",Lalo,NULL,"6 Dec 1916",1916-12-06,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1226,11420,"Easter Overture",Rimsky-Korsakov,NULL,"6 Dec 1916",1916-12-06,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1227,8680,"Pavane pour une infante defunte",Ravel,NULL,"24 Jan 1917",1917-01-24,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1227,11413,"Iberia Suite",Debussy,NULL,"24 Jan 1917",1917-01-24,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1227,11421,"Symphony No36 in C",Mozart,NULL,"24 Jan 1917",1917-01-24,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1227,11423,"Concerto for Piano in C minor",Delius,NULL,"24 Jan 1917",1917-01-24,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1227,11424,"Overture, The Two Blind Men of Toledo",Mehul,NULL,"24 Jan 1917",1917-01-24,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1227,11425,"Suite from 'The Firebird'",Stravinsky,NULL,"24 Jan 1917",1917-01-24,"Hallé Orchestra; 1857-","Town Hall",Birmingham,birmingham-town-hall
1228,11426,"Overture, Nina, o La pazzo per Amore",Paesiello,NULL,"13 Feb 1917",1917-02-13,"Hallé Orchestra; 1857-","Town Hall",Leeds,leeds-town-hall
1228,11427,"Symphonic Suite 'Scheherazade'",Rimsky-Korsakov,NULL,"13 Feb 1917",1917-02-13,"Hallé Orchestra; 1857-","Town Hall",Leeds,leeds-town-hall
1228,11428,"Concerto for Violin in D",Brahms,NULL,"13 Feb 1917",1917-02-13,"Hallé Orchestra; 1857-","Town Hall",Leeds,leeds-town-hall
1228,11429,"Menuet: Le Bourgeois Gentilhomme",Lully,NULL,"13 Feb 1917",1917-02-13,"Hallé Orchestra; 1857-","Town Hall",Leeds,leeds-town-hall
1228,11430,"Overture, The Bartered Bride",Smetana,NULL,"13 Feb 1917",1917-02-13,"Hallé Orchestra; 1857-","Town Hall",Leeds,leeds-town-hall
1244,11431,"Overture, Rienzi",Wagner,NULL,"26 Oct 1917",1917-10-26,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1244,11432,"Overture & New Venusburg Music [Tannhauser]",Wagner,NULL,"26 Oct 1917",1917-10-26,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1244,11433,"Senta's Ballad [Flying Dutchman]",Wagner,NULL,"26 Oct 1917",1917-10-26,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1244,11434,"Prelude & Liebestod [Tristan und Isolde]",Wagner,NULL,"26 Oct 1917",1917-10-26,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1244,11435,"Ride of the Valkyries [Die Walkure]",Wagner,NULL,"26 Oct 1917",1917-10-26,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1244,11436,"Siegfried Idyll",Wagner,NULL,"26 Oct 1917",1917-10-26,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1244,11437,"Finale, Act 3 [Rheingold]",Wagner,NULL,"26 Oct 1917",1917-10-26,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1244,11438,"Song: Pains",Wagner,NULL,"26 Oct 1917",1917-10-26,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1244,11439,"Song: Dreams",Wagner,NULL,"26 Oct 1917",1917-10-26,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1244,11440,"Introduction Act 3; Overture [Die Meistersinger]",Wagner,NULL,"26 Oct 1917",1917-10-26,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1245,11441,"Overture, Carnival in Paris",Svendsen,NULL,"7 Dec 1917",1917-12-07,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1245,11442,"Prelude: L'Apres-midi d'un Faune",Debussy,NULL,"7 Dec 1917",1917-12-07,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1245,11444,"Fireworks; fantasy, Op.4",Stravinsky,NULL,"7 Dec 1917",1917-12-07,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1245,11445,"Symphony in D minor",Franck,NULL,"7 Dec 1917",1917-12-07,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1245,11446,"Irish Tune from County Derry",Grainger,NULL,"7 Dec 1917",1917-12-07,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1245,11447,"Shepherd Fennel's Dance",Gardiner,NULL,"7 Dec 1917",1917-12-07,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1245,28205,"Brandenburg Concerto for Strings in G major","Bach, Johann Sebastian",NULL,"7 Dec 1917",1917-12-07,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1246,11448,"Symphony No2 in D",Brahms,NULL,"1 Mar 1918",1918-03-01,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1246,11449,"Concerto for Violin in D",Beethoven,NULL,"1 Mar 1918",1918-03-01,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1246,11450,"Overture 'Coriolanus'",Beethoven,NULL,"1 Mar 1918",1918-03-01,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1246,11452,"Violin solo, Irish Reel",Stanford,NULL,"1 Mar 1918",1918-03-01,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1246,11453,"Poeme Hongroise for violin",Hubay,NULL,"1 Mar 1918",1918-03-01,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1246,11454,"Hungarian March [Faust]",Berlioz,NULL,"1 Mar 1918",1918-03-01,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1246,15260,"A Shropshire Lad; rhapsody for orchestra",Butterworth,NULL,"1 Mar 1918",1918-03-01,"Hallé Orchestra; 1857-","St George's Hall",Bradford,bradford-st-george's-hall
1364,10879,"Overture, Carnaval Romain",Berlioz,NULL,"8 Dec 1923",1923-12-08,"Hallé Orchestra; 1857-","King George's Hall",Blackburn,blackburn-king-george's-hall
1364,10880,"Symphony No4 in F Minor",Tchaikovsky,NULL,"8 Dec 1923",1923-12-08,"Hallé Orchestra; 1857-","King George's Hall",Blackburn,blackburn-king-george's-hall
1364,10881,"Corteges de Noces",Rimsky-Korsakov,NULL,"8 Dec 1923",1923-12-08,"Hallé Orchestra; 1857-","King George's Hall",Blackburn,blackburn-king-george's-hall
1364,10882,"Scherzo; A Midsummer Night's Dream",Mendelssohn,NULL,"8 Dec 1923",1923-12-08,"Hallé Orchestra; 1857-","King George's Hall",Blackburn,blackburn-king-george's-hall
1364,10883,"Prelude to Act III [Tristan und Isolde]",Wagner,NULL,"8 Dec 1923",1923-12-08,"Hallé Orchestra; 1857-","King George's Hall",Blackburn,blackburn-king-george's-hall
1364,10884,"Prelude to Act III; Dance of Apprentices & March of Meistersingers",Wagner,NULL,"8 Dec 1923",1923-12-08,"Hallé Orchestra; 1857-","King George's Hall",Blackburn,blackburn-king-george's-hall
1364,10885,"Hungarian Rhapsody No3",Liszt,NULL,"8 Dec 1923",1923-12-08,"Hallé Orchestra; 1857-","King George's Hall",Blackburn,blackburn-king-george's-hall
1471,10886,"Dream of Gerontius",Elgar,NULL,"24 Mar 1929",1929-03-24,"Hallé Orchestra; 1857-","Palace Theatre",Burnley,burnley-palace-theatre
1493,10244,"Overture, Benvenuto Cellini",Berlioz,NULL,"15 Nov 1929",1929-11-15,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1493,10245,"Symphony in D minor",Franck,NULL,"15 Nov 1929",1929-11-15,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1493,10246,"Concerto for Piano No2 in B flat",Brahms,NULL,"15 Nov 1929",1929-11-15,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1493,10247,"Overture, Die Meistersinger",Wagner,NULL,"15 Nov 1929",1929-11-15,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1494,10249,"Overture, The Corsair",Berlioz,NULL,"29 Nov 1929",1929-11-29,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1494,10250,"Eine Kleine Nacht-Musik",Mozart,NULL,"29 Nov 1929",1929-11-29,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1494,10251,"Faust in Solitude [A Faust Overture]",Wagner,NULL,"29 Nov 1929",1929-11-29,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1494,10252,"Symphony No1 in C Minor",Brahms,NULL,"29 Nov 1929",1929-11-29,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1494,32031,"With the Wild Geese; poem for orchestra","Harty, Hamilton",NULL,"29 Nov 1929",1929-11-29,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1495,10253,"Overture, The Flying Dutchman",Wagner,NULL,"13 Dec 1929",1929-12-13,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1495,10254,"Rakoczy March [Faust]",Berlioz,NULL,"13 Dec 1929",1929-12-13,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1495,10255,"Concerto for Violin in D",Beethoven,NULL,"13 Dec 1929",1929-12-13,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1495,10256,"Scenes from Romeo & Juliet: Love Scene, Queen Mab Scherzo, Romeo Alone, Fete at the Capulets' palace",Berlioz,NULL,"13 Dec 1929",1929-12-13,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1495,10257,"The Rio Grande",Lambert,NULL,"13 Dec 1929",1929-12-13,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1495,10258,"Royal Hunt & the Storm in the Forest [The Trojans]",Berlioz,NULL,"13 Dec 1929",1929-12-13,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1496,10259,"Symphony No3 in E flat  'Eroica'",Beethoven,NULL,"10 Jan 1930",1930-01-10,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1496,10260,"King Lear Overture",Berlioz,NULL,"10 Jan 1930",1930-01-10,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1496,10261,"The Rio Grande",Lambert,NULL,"10 Jan 1930",1930-01-10,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1496,10262,"Concerto for Piano No1 in B flat Minor",Tchaikovsky,NULL,"10 Jan 1930",1930-01-10,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1496,11081,"[Divertimento No17 in D major, for Two Horns & Strings]",Mozart,NULL,"10 Jan 1930",1930-01-10,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1496,11082,"Capriccio Espagnol",Rimsky-Korsakov,NULL,"10 Jan 1930",1930-01-10,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1497,10263,"Symphony No2 in E flat",Elgar,NULL,"24 Jan 1930",1930-01-24,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1497,10264,"Orchestral Fantasia 'Don Juan'","Strauss, Richard",NULL,"24 Jan 1930",1930-01-24,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1497,10265,"Tod und Verklarung","Strauss, Richard",NULL,"24 Jan 1930",1930-01-24,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1497,10266,"Till Eulenspiegel","Strauss, Richard",NULL,"24 Jan 1930",1930-01-24,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1498,7199,"Ride of the Valkyries [Die Walkure]",Wagner,NULL,"7 Feb 1930",1930-02-07,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1498,10267,"Finale, Die Gotterdammerung",Wagner,NULL,"7 Feb 1930",1930-02-07,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
1498,10269,"Entrance of the Gods into Valhalla [The Rhinegold]",Wagner,NULL,"7 Feb 1930",1930-02-07,"Hallé Orchestra; 1857-","Queen's Hall",London,london-queen's-hall
